Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
John Brown,29.0,BUF,15.0,15.0,2.0,7.0,0.0,0.0,0.0,4.0,3.5,0.5,0.1,0.0,0
Robert Foster,25.0,BUF,13.0,2.0,2.0,29.0,0.0,1.0,100.0,22.0,14.5,2.2,0.2,0.0,0
Mike Glennon,30.0,OAK,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
Julio Jones,30.0,ATL,15.0,15.0,2.0,-3.0,0.0,0.0,0.0,1.0,-1.5,-0.2,0.1,1.0,"PB,AP-2"
Marvin Jones,29.0,DET,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
Anthony Levine,32.0,BAL,16.0,0.0,2.0,62.0,0.0,2.0,0.0,60.0,31.0,3.9,0.1,0.0,0
Josh McCown,40.0,PHI,3.0,0.0,2.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,-0.7,0.7,0.0,0
Ryan Nall,24.0,CHI,8.0,0.0,2.0,8.0,0.0,1.0,50.0,7.0,4.0,1.0,0.3,0.0,0
Calvin Ridley,25.0,ATL,13.0,10.0,2.0,34.0,0.0,2.0,100.0,19.0,17.0,2.6,0.2,0.0,0
Willie Snead,27.0,BAL,16.0,11.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0
Darren Waller,27.0,OAK,16.0,16.0,2.0,5.0,0.0,0.0,50.0,7.0,2.5,0.3,0.1,1.0,AP CPoY-3
De'Anthony Thomas,26.0,2TM,14.0,0.0,2.0,5.0,0.0,1.0,50.0,4.0,2.5,0.4,0.1,3.0,0
De'Anthony Thomas,26.0,BAL,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,1.0,0
Jamal Agnew,24.0,DET,13.0,0.0,1.0,9.0,0.0,1.0,100.0,9.0,9.0,0.7,0.1,1.0,0
Andrew Beck,23.0,DEN,16.0,6.0,1.0,3.0,0.0,1.0,100.0,3.0,3.0,0.2,0.1,0.0,0
Derek Carrier,29.0,OAK,16.0,4.0,1.0,27.0,0.0,1.0,0.0,27.0,27.0,1.7,0.1,0.0,0
Robbie Chosen,26.0,NYJ,16.0,15.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.3,0.1,1.0,0
Amari Cooper,25.0,DAL,16.0,16.0,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.4,0.1,0.0,PB
Pharoh Cooper,24.0,ARI,12.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,0.0,0
Jamison Crowder,26.0,NYJ,16.0,12.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.3,0.1,0.0,0
Josh Gordon,28.0,2TM,11.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,0
Marvin Hall,26.0,DET,9.0,0.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,0.8,0.1,0.0,0
Erik Harris,29.0,OAK,16.0,14.0,1.0,4.0,0.0,1.0,0.0,4.0,4.0,0.3,0.1,0.0,0
Johnny Holton,29.0,PIT,16.0,3.0,1.0,9.0,0.0,1.0,100.0,9.0,9.0,0.6,0.1,0.0,0
Andy Janovich,26.0,DEN,7.0,3.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,0.1,0.1,0.0,0
Alshon Jeffery,29.0,PHI,10.0,10.0,1.0,2.0,1.0,1.0,100.0,2.0,2.0,0.2,0.1,0.0,0
KeeSean Johnson,23.0,ARI,10.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.3,0.1,1.0,0
Colin Jones,32.0,CAR,16.0,0.0,1.0,5.0,0.0,1.0,0.0,5.0,5.0,0.3,0.1,0.0,0
Zay Jones,24.0,2TM,15.0,9.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,0.0,0
Zay Jones,24.0,BUF,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zay Jones,24.0,OAK,10.0,7.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.3,0.1,0.0,0
Dawson Knox,23.0,BUF,15.0,11.0,1.0,9.0,0.0,1.0,100.0,9.0,9.0,0.6,0.1,0.0,0
Jarvis Landry,27.0,CLE,16.0,16.0,1.0,10.0,0.0,1.0,100.0,10.0,10.0,0.6,0.1,0.0,PB
Vance McDonald,29.0,PIT,14.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,1.0,0
Trace McSorley,24.0,BAL,1.0,0.0,1.0,1.0,0.0,1.0,100.0,1.0,1.0,1.0,1.0,0.0,0
Anthony Miller,25.0,CHI,16.0,7.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.1,1.0,0
Chris Moore,26.0,BAL,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0
Alfred Morris,31.0,ARI,1.0,0.0,1.0,4.0,0.0,1.0,100.0,4.0,4.0,4.0,1.0,0.0,0
